new.seqID	dG	dH	dS	Tm
MIR-23B;hsa-miR-23b-3p|1x|3x	-1	-20.9	-64.2	52.6
BRCAT98-15;NA	0.2	-19.8	-64.5	33.9
MIR-380-3P-hsa;NA	-0.9	-20.9	-64.5	51
MIR-9-star;NA	0.4	-19.7	-64.8	30.8
MIR-688;NA	-2.1	-22.2	-64.8	69.4
MIR-125B;hsa-miR-125b-5p|2x|1x	-0.3	-20.5	-65.1	41.6
MIR-139-5P;NA	-0.7	-20.9	-65.1	47.7
MIR-711;NA	-0.5	-20.8	-65.5	44.6
MIR-450A-5P-rno;NA	-0.5	-20.9	-65.8	44.6
MIR-450A-5P;hsa-miR-450a-5p|1x|4x	-0.5	-20.9	-65.8	44.6
HCMV-UL148D;NA	1.8	-18.7	-66.1	9.8
KSHV-K12-10A;NA	-0.6	-21.1	-66.1	46.1
KSHV-K12-10B;NA	-0.6	-21.1	-66.1	46.1
MIR-590-3P-rno;NA	0.2	-20.4	-66.4	34
MIR-590-3P;NA	0.2	-20.4	-66.4	34
MIR-484;hsa-miR-484|1x|1.5x	-0.5	-21.4	-67.4	44.4
MIR-606;NA	-0.9	-21.8	-67.4	50.4
MGHV-M1-2;NA	-0.7	-21.8	-68	47.3
MIR-704;NA	-0.5	-21.7	-68.4	44.3
EBV-1-2;NA	-1.1	-22.3	-68.4	53.1
MIR-543-3P;hsa-miR-543|8x|1x	-1.3	-22.5	-68.4	56
MIR-204;NA	0.9	-20.4	-68.7	23.9
MIR-598-3P;NA	-0.2	-21.5	-68.7	39.9
MIR-450B-5P-hsa;hsa-miR-450b-5p|1x|1x	-0.7	-22	-68.7	47.2
MIR-450B-5P-mmu;NA	-0.7	-22	-68.7	47.2
EBV-3-5P;NA	-1	-22.3	-68.7	51.6
MIR-465-5P;NA	-0.7	-22.1	-69	47.1
GAPDH-15;NA	0	-21.5	-69.3	37
EBV-14-5P;NA	0.7	-20.9	-69.6	26.9
MIR-452;NA	-2.2	-23.8	-69.6	68.6
MIR-640;NA	-2.3	-23.9	-69.6	70
LET-7F;hsa-let-7f-5p|1x|8x	-0.2	-22.1	-70.6	39.8
MIR-676-star;NA	-1.2	-23.2	-70.9	53.9
MIR-654-5P-hsa;NA	-2.9	-24.9	-70.9	77.9
KSHV-K12-12;NA	-0.7	-22.8	-71.3	46.8
MIR-22-star;NA	-1.8	-23.9	-71.3	62.3
MIR-719;NA	-1	-23.2	-71.6	51
MIR-382;NA	-1.9	-24.1	-71.6	63.5
KSHV-K12-6-5P;NA	0.3	-22	-71.9	32.8
MIR-325-5P-hsa;NA	-1.1	-23.4	-71.9	52.3
MIR-465B-5P;NA	-1.4	-23.7	-71.9	56.5
MIR-465C-5P;NA	-1.4	-23.7	-71.9	56.5
MIR-506;NA	-1.7	-24	-71.9	60.6
MGHV-M1-7-3P;NA	1.7	-20.7	-72.2	13.5
MIR-215-hsa;hsa-miR-215-5p|1x|3x	0.7	-21.7	-72.2	27.3
MIR-215;NA	0.7	-21.7	-72.2	27.3
MIR-132;hsa-miR-132-3p|3x|1x	-0.2	-22.7	-72.5	39.8
MIR-741-3P-rno;NA	-0.6	-23.1	-72.5	45.3
MIR-450B-3P;NA	-2	-24.5	-72.5	64.6
MIR-669C;NA	0.2	-22.4	-72.9	34.3
MIR-224-mmu;NA	-0.3	-22.9	-72.9	41.1
MIR-224;hsa-miR-224-5p|1x|1.5x	-0.3	-22.9	-72.9	41.1
MIR-577;NA	-0.4	-23	-72.9	42.5
MIR-465ABC;NA	-0.7	-23.3	-72.9	46.6
MIR-488-star-mmu;NA	0	-22.7	-73.2	37
MIR-299-5P;hsa-miR-299-5p|5x|1x	-2.6	-25.3	-73.2	72.5
MIR-465D;NA	-0.5	-23.3	-73.5	43.8
MIR-687;NA	-1.7	-24.5	-73.5	60.1
MIR-454-star;NA	1.4	-21.5	-73.8	18
MIR-294-3P-mmu;NA	0.5	-22.4	-73.8	30.2
MGHV-M1-9;NA	0.3	-22.6	-73.8	32.9
MIR-340-5P;hsa-miR-340-5p|2x|1x	0.1	-22.8	-73.8	35.6
MIR-223;hsa-miR-223-3p|1x|1x	-0.1	-23	-73.8	38.4
HCMV-US5-2;NA	-0.9	-23.8	-73.8	49.2
MIR-667;NA	-0.5	-23.5	-74.2	43.7
MIR-485-5P;hsa-miR-485-5p|1x|2x	-0.6	-23.6	-74.2	45.1
MIR-802;NA	0.8	-22.3	-74.5	26.3
PRCAT47-15;NA	0.1	-23	-74.5	35.7
MIR-26B;hsa-miR-26b-5p|1x|5x	0	-23.1	-74.5	37
MIR-464;NA	-0.7	-23.8	-74.5	46.4
MIR-137;NA	-1.6	-24.7	-74.5	58.5
BRCAT2-30;NA	-2.3	-25.4	-74.5	67.9
MIR-488-star;NA	-2.5	-25.6	-74.5	70.6
MIR-384-5P-hsa;NA	1	-22.2	-74.8	23.6
MIR-571;NA	-0.2	-23.4	-74.8	39.7
RLCV-10;NA	-0.4	-23.6	-74.8	42.3
EBV-20-5P;NA	-1.2	-24.4	-74.8	53
MIR-743B-3P-rno;NA	0.6	-22.7	-75.1	29
MIR-15B;hsa-miR-15b-5p|1x|8x	0	-23.3	-75.1	37
MIR-196A;NA	-0.3	-23.6	-75.1	41
MIR-466B-5P-rno;NA	-0.3	-23.6	-75.1	41
LET-7D-star;hsa-let-7d-3p|1x|8x	0.9	-22.5	-75.4	25.1
MIR-471;NA	-1.1	-24.5	-75.4	51.6
MIR-409-3P;hsa-miR-409-3p|5x|1x	-0.5	-24	-75.8	43.6
MIR-624-star;NA	-0.5	-24	-75.8	43.6
EBV-18-5P;NA	-0.8	-24.3	-75.8	47.6
MIR-322-star;NA	-1.2	-24.8	-76.1	52.8
MIR-323-3P;hsa-miR-323a-3p|8x|1x	-0.3	-24	-76.4	40.9
MIR-23A;hsa-miR-23a-3p|1x|10x	-1.3	-25	-76.4	54
MIR-767-3P;NA	-1.3	-25	-76.4	54
MIR-302B-star-mmu;NA	-1.4	-25.1	-76.4	55.3
LACAT4-15;NA	-0.1	-23.9	-76.7	38.3
HSV1-H1;NA	-0.9	-24.7	-76.7	48.7
MIR-10A;hsa-miR-10a-5p|10x|1x	0.1	-23.8	-77.1	35.7
MIR-10B;hsa-miR-10b-5p|1x|2x	0.1	-23.8	-77.1	35.7
KSHV-K12-7;NA	-1.5	-25.5	-77.4	56.4
MIR-631;NA	-1.2	-25.3	-77.7	52.4
MIR-591;NA	-2.7	-26.8	-77.7	71.7
EBV-17-3P;NA	-0.5	-24.7	-78	43.4
BRCAT3-60;BRCAT3-60|1x|5x	-0.6	-24.8	-78	44.7
MIR-558;NA	0.2	-24.1	-78.3	34.4
MIR-486-5P;hsa-miR-486-5p|4x|1x	-0.1	-24.4	-78.3	38.3
HCMV-US4;NA	-0.5	-24.8	-78.3	43.4
MIR-766;hsa-miR-766-3p|1x|2x	-0.7	-25.1	-78.7	45.9
MIR-511;NA	-1.8	-26.2	-78.7	59.9
MIR-347;NA	-3.6	-28	-78.7	82.8
MIR-337-3P-hsa;NA	0.4	-24.1	-79	31.9
LET-7C;hsa-let-7c-5p|1x|5x	-0.1	-24.6	-79	38.3
MIR-495;hsa-miR-495-3p|1x|1x	-0.2	-24.7	-79	39.5
MIR-882;NA	-0.2	-24.7	-79	39.5
MIR-493-star;NA	-0.3	-24.8	-79	40.8
MIR-518E;NA	-2.2	-26.7	-79	64.9
MIR-889;NA	-1.1	-25.7	-79.3	50.9
MIR-411;hsa-miR-411-5p|2x|1x	-2.4	-27	-79.3	67.3
LET-7A;hsa-let-7a-5p|1x|1x	-0.1	-24.8	-79.6	38.3
MIR-411-star-rno;NA	-1.3	-26	-79.6	53.3
MIR-199B-5P-hsa;hsa-miR-199b-5p|3x|1x	-1.5	-26.2	-79.6	55.8
MIR-382-star;NA	-0.2	-25	-80	39.5
MIR-546;NA	-0.5	-25.3	-80	43.3
MIR-660;hsa-miR-660-5p|8x|1x	-1	-25.8	-80	49.5
HCMV-UL22A-star;NA	-1.5	-26.4	-80.3	55.7
MIR-696;NA	-1.9	-26.8	-80.3	60.7
MIR-599;NA	0	-25	-80.6	37
MIR-434-3P;NA	-1.2	-26.2	-80.6	51.9
MIR-548C-5P;NA	-2	-27	-80.6	61.8
RLCV-3;NA	-2.1	-27.1	-80.6	63.1
MIR-517A;NA	-0.8	-25.9	-80.9	46.9
MIR-151-3P-hsa;hsa-miR-151a-3p|1x|10x	-1.4	-26.5	-80.9	54.3
MIR-151-3P;NA	-1.4	-26.5	-80.9	54.3
MIR-579;NA	-3	-28.1	-80.9	74.1
MIR-519D;NA	-1.2	-26.4	-81.3	51.8
HCMV-UL112;NA	-0.9	-26.2	-81.6	48
CAT819-15;NA	-1	-26.3	-81.6	49.3
PRCAT23-90;PRCAT23-90|1x|1x	-1.3	-26.6	-81.6	52.9
MIR-654-5P-mmu;NA	-2.4	-27.7	-81.6	66.4
MIR-654-5P-rno;NA	-2.4	-27.7	-81.6	66.4
MIR-453-hsa;NA	-3.1	-28.4	-81.6	75
MIR-549;NA	-0.8	-26.2	-81.9	46.8
MIR-433-3P;hsa-miR-433-3p|1x|3x	-1.4	-26.8	-81.9	54.1
MIR-715;NA	-2.3	-27.7	-81.9	65.1
KSHV-K12-5;NA	-3.6	-29	-81.9	81
MIR-7-star;NA	1.1	-24.5	-82.5	23.7
MIR-693-5P;NA	0.4	-25.2	-82.5	32.2
MIR-742-star;NA	-1.3	-26.9	-82.5	52.7
MIR-216B;NA	-2.1	-27.7	-82.5	62.4
MIR-605;NA	0.3	-25.4	-82.9	33.4
MIR-30A-star;NA	-0.8	-26.5	-82.9	46.7
MIR-30E-star;hsa-miR-30e-3p|1x|1.5x	-0.8	-26.5	-82.9	46.7
LACAT4-30;NA	-1.2	-26.9	-82.9	51.5
MIR-339-3P-rno;NA	-1.9	-27.6	-82.9	59.9
MIR-202-3P-mmu;NA	-0.8	-26.6	-83.2	46.6
MIR-202-3P-rno;NA	-0.8	-26.6	-83.2	46.6
MIR-18A-star;NA	-1.6	-27.4	-83.2	56.2
MIR-520H;NA	-1.7	-27.5	-83.2	57.4
MIR-690;NA	-1.9	-27.7	-83.2	59.8
MIR-220A;NA	-1.5	-27.4	-83.5	55
HCMV-US25-1;NA	-3	-28.9	-83.5	72.9
MIR-183;hsa-miR-183-5p|1x|2x	-0.7	-26.7	-83.8	45.4
MIR-626;NA	-0.8	-26.8	-83.8	46.5
MIR-128;hsa-mir-128-1-3p|1x|1x	-0.9	-26.9	-83.8	47.7
MIR-691;NA	-1.8	-27.8	-83.8	58.5
MIR-487A;NA	-2.1	-28.1	-83.8	62.1
MIR-487B;NA	-2.1	-28.1	-83.8	62.1
MIR-499-5P;hsa-miR-499a-5p|1x|1x	-3.4	-29.4	-83.8	77.6
"2OM-ath-MIR156a,ath-MIR156a;ath-MIR156a|1.5x|1x"	0.5	-25.6	-84.2	31.1
MIR-505;NA	-0.4	-26.5	-84.2	41.8
MIR-519B-3P;NA	-2.3	-28.4	-84.2	64.3
MIR-702;NA	0	-26.2	-84.5	37
MIR-805;NA	-0.4	-26.6	-84.5	41.7
MIR-375;NA	-0.9	-27.1	-84.5	47.7
MIR-695;NA	-2.9	-29.1	-84.5	71.3
MIR-516A-3P;NA	-3.8	-30	-84.5	82
MIR-520C-3P;NA	-3.8	-30	-84.5	82
MIR-520E;NA	-3.8	-30	-84.5	82
LET-7E;hsa-let-7e-5p|4x|1x	0.6	-25.7	-84.8	29.9
MIR-494;NA	-3.8	-30.1	-84.8	81.8
BRCAT54-15;NA	-0.5	-26.9	-85.1	42.9
MIR-872;NA	-0.7	-27.1	-85.1	45.2
MIR-532-5P;hsa-miR-532-5p|3x|1x	-1.4	-27.8	-85.1	53.4
MIR-98;hsa-miR-98-5p|1x|2x	-1.5	-27.9	-85.1	54.6
MIR-99B;hsa-miR-99b-5p|1x|5x	-1.6	-28	-85.1	55.8
MIR-152;hsa-miR-152-3p|1x|2x	-1.7	-28.1	-85.1	57
MIR-532-3P;hsa-miR-532-3p|3x|1x	-0.4	-26.9	-85.4	41.7
PRCAT104-15;PRCAT104-15|1x|2x	-0.8	-27.3	-85.4	46.4
EBV-19-3P;NA	-1	-27.5	-85.4	48.7
EBV-2-5P;NA	-1.3	-27.8	-85.4	52.2
MIR-668;NA	-3.3	-29.8	-85.4	75.6
MIR-350-hsa;NA	0.1	-26.5	-85.8	35.8
MIR-350;NA	0.1	-26.5	-85.8	35.8
MIR-425;hsa-miR-425-5p|1.5x|1x	-1.2	-27.8	-85.8	51
MIR-192;hsa-miR-192-5p|1x|10x	0.6	-26.1	-86.1	30
LSCAT212-15;LSCAT212-15|1x|8x	-1.9	-28.6	-86.1	59.1
MIR-184;hsa-miR-184|1x|1.5x	-1.3	-28.1	-86.4	52
MIR-891B;NA	-1.8	-28.6	-86.4	57.8
MIR-517C;NA	-1.9	-28.7	-86.4	59
MIR-519A;NA	-1.9	-28.7	-86.4	59
MIR-20A-star;NA	-2.2	-29	-86.4	62.5
MIR-508-3P;NA	-0.5	-27.4	-86.7	42.8
EBV-7;NA	-0.8	-27.7	-86.7	46.2
MIR-202-3P;NA	-1.4	-28.3	-86.7	53.1
MIR-607;NA	0.5	-26.5	-87.1	31.3
KSHV-K12-2;NA	-1.3	-28.3	-87.1	51.9
MIR-466ABCE-3P;NA	2.1	-25	-87.4	13
MIR-343-mmu;NA	1.1	-26	-87.4	24.4
MIR-343-rno;NA	1.1	-26	-87.4	24.4
MIR-604;NA	-0.5	-27.6	-87.4	42.7
MIR-683;NA	-2.2	-29.3	-87.4	62.2
MIR-890;NA	-2.2	-29.3	-87.4	62.2
MIR-193B-mmu;NA	-1.1	-28.3	-87.7	49.5
MIR-193B;hsa-miR-193b-3p|10x|1x	-1.1	-28.3	-87.7	49.5
MIR-491-3P;NA	-1.1	-28.3	-87.7	49.5
MIR-203;NA	-1.7	-28.9	-87.7	56.4
MIR-511-hsa;NA	-2.4	-29.6	-87.7	64.4
MIR-633;NA	0.2	-27.1	-88	34.7
MIR-212;NA	-0.8	-28.1	-88	46.1
MIR-327-mmu;NA	-0.8	-28.1	-88	46.1
MIR-151-5P;hsa-miR-151a-5p|1x|1.5x	-1.9	-29.2	-88	58.6
MIR-27A;hsa-miR-27a-3p|1x|3x	-1.9	-29.2	-88	58.6
MIR-518A-3P;NA	-2.9	-30.2	-88	69.9
MIR-302A-star;NA	-0.5	-27.9	-88.3	42.7
MIR-877;NA	-0.5	-27.9	-88.3	42.7
MIR-199A-3P;hsa-miR-199b-3p|1x|2x	-1	-28.4	-88.3	48.3
DSCAM-AS1.1-15;NA	-2	-29.4	-88.3	59.6
MIR-7;hsa-miR-7-5p|1x|5x	-0.5	-28	-88.7	42.6
MIR-7B;NA	-0.5	-28	-88.7	42.6
MIR-92A;hsa-miR-92a-3p|5x|1x	-1	-28.6	-89	48.2
MIR-92B;hsa-miR-92b-3p|1x|5x	-1	-28.6	-89	48.2
MIR-575;NA	-1.4	-29	-89	52.7
MIR-520G;NA	-2.2	-29.8	-89	61.7
MIR-379;NA	-2.7	-30.3	-89	67.3
MIR-881-mmu;NA	-1.5	-29.2	-89.3	53.8
MIR-712;NA	-2.7	-30.4	-89.3	67.2
MIR-649;NA	0.1	-27.7	-89.6	35.9
MIR-705;NA	-0.1	-27.9	-89.6	38.1
SCHLAP1-30;NA	-0.5	-28.3	-89.6	42.6
MIR-363-star;NA	-1.5	-29.3	-89.6	53.7
EBV-1-5P;NA	-1.8	-29.6	-89.6	57.1
MIR-20B-star;NA	-3.1	-30.9	-89.6	71.6
MIR-467E;NA	-3.1	-30.9	-89.6	71.6
EBV-19-5P;NA	0.5	-27.4	-90	31.4
MIR-559;NA	-0.7	-28.6	-90	44.8
MIR-302D;NA	-1.9	-29.8	-90	58.1
MIR-302B;hsa-miR-302b-3p|1x|2x	-0.8	-28.8	-90.3	45.9
RLCV-13;NA	-1.1	-29.1	-90.3	49.2
MIR-191;hsa-miR-191-5p|1x|8x	-1.3	-29.3	-90.3	51.4
MIR-411-star;NA	-2.1	-30.1	-90.3	60.3
MIR-509-5P-rno;NA	-2.3	-30.3	-90.3	62.5
MIR-743B-3P-mmu;NA	-1.1	-29.2	-90.6	49.1
MIR-126-3P;hsa-miR-126-3p|2x|1x	-0.8	-29	-90.9	45.8
MIR-218;hsa-miR-218-5p|4x|1x	-1	-29.2	-90.9	48
MIR-492;NA	-1.9	-30.1	-90.9	57.9
MIR-516B;NA	-1.9	-30.1	-90.9	57.9
MIR-644;NA	-2.7	-30.9	-90.9	66.7
MIR-509-3P;NA	-0.9	-29.2	-91.2	46.9
HCMV-UL70-3P;NA	-1.9	-30.2	-91.2	57.8
MIR-891A;NA	-0.2	-28.6	-91.6	39.2
MIR-651;NA	-2.6	-31	-91.6	65.4
MIR-547-mmu;NA	-0.6	-29.1	-91.9	43.5
MIR-96;hsa-miR-96|1x|1.5x	-3.1	-31.6	-91.9	70.7
LET-7D;NA	-1	-29.6	-92.2	47.8
MIR-361-5P;NA	-1.1	-29.7	-92.2	48.9
RLCV-9;NA	-1.3	-29.9	-92.2	51.1
MIR-205;hsa-miR-205-5p|1x|2x	-3	-31.6	-92.2	69.5
MIR-340-3P;NA	-1	-29.7	-92.5	47.8
MIR-672;NA	-1.2	-29.9	-92.5	50
MIR-550;NA	-2.9	-31.6	-92.5	68.3
MIR-520D-3P;NA	-1.3	-30.1	-92.9	51
MIR-562;NA	-0.5	-29.4	-93.2	42.4
MIR-628-3P;NA	-1	-29.9	-93.2	47.7
MIR-337-3P;NA	-1.2	-30.1	-93.2	49.9
MIR-199A-5P;NA	-1.3	-30.2	-93.2	51
MIR-199B-5P;NA	-1.3	-30.2	-93.2	51
MIR-489-mmu;NA	-1.6	-30.5	-93.2	54.2
MIR-541-5P;NA	-2.1	-31	-93.2	59.5
MGHV-M1-7-5P;NA	-4.2	-33.1	-93.2	82.1
MIR-201-rno;NA	-0.4	-29.4	-93.5	41.3
MIR-201;NA	-0.4	-29.4	-93.5	41.3
MIR-143;NA	-2.2	-31.2	-93.5	60.5
MIR-883B-5P;NA	-2.5	-31.5	-93.5	63.7
MIR-662;NA	-3.4	-32.4	-93.5	73.4
MIR-583;NA	-2.1	-31.2	-93.8	59.4
MIR-671-3P;NA	-2.4	-31.5	-93.8	62.6
MIR-302A;hsa-miR-302a-3p|10x|1x	-1.8	-31	-94.1	56.1
MIR-346-hsa;hsa-miR-346|8x|1x	-2.2	-31.4	-94.1	60.4
MIR-519C-3P;NA	-3.2	-32.4	-94.1	71
MIR-297B;NA	-3.4	-32.6	-94.1	73.1
MIR-582-5P-2;NA	0	-29.3	-94.5	37
MIR-582-5P;NA	0	-29.3	-94.5	37
MIR-369-3P;hsa-miR-369-3p|4x|1x	-1.3	-30.6	-94.5	50.8
RLCV-14-3P;NA	-2	-31.3	-94.5	58.2
MIR-129-3P;NA	-0.6	-30	-94.8	43.3
MIR-574-3P;hsa-miR-574-3p|1.5x|1x	-1.7	-31.1	-94.8	54.9
MIR-122;hsa-miR-122-5p|1x|8x	-2.7	-32.1	-94.8	65.5
ARTIF-5B;NA	-2.9	-32.3	-94.8	67.6
MIR-673-3P-rno;NA	-4.5	-33.9	-94.8	84.5
MIR-301B-hsa;hsa-miR-301b|1.5x|1x	-2.3	-31.8	-95.1	61.2
EBV-1-3P;NA	-2.7	-32.2	-95.1	65.4
MIR-629-star;NA	-0.9	-30.5	-95.4	46.4
MIR-149;NA	-1.5	-31.1	-95.4	52.7
MIR-542-5P-2;NA	-3.7	-33.3	-95.4	75.8
MIR-673-3P;NA	-3.8	-33.4	-95.4	76.8
BRCAT2-15;NA	-1.7	-31.4	-95.8	54.8
EBV-10;NA	-2.1	-31.8	-95.8	58.9
MIR-761;NA	-2.1	-31.8	-95.8	58.9
KSHV-K12-8;NA	-2.2	-31.9	-95.8	60
SCHLAP1-15;NA	-2.4	-32.1	-95.8	62.1
MIR-196B;hsa-miR-196b-5p|10x|1x	-2	-31.8	-96.1	57.8
MIR-29A;hsa-miR-29a-3p|1x|1.5x	-2.1	-31.9	-96.1	58.9
MIR-29C;hsa-miR-29c-3p|2x|1x	-2.1	-31.9	-96.1	58.9
MIR-509-3-5P;NA	-3.2	-33	-96.1	70.3
MIR-362-3P;NA	-3.6	-33.4	-96.1	74.5
MIR-342-3P;hsa-miR-342-3p|1x|8x	-1	-30.9	-96.4	47.4
MIR-154-star;NA	-1.3	-31.2	-96.4	50.5
MIR-590-5P-rno;NA	-2.4	-32.3	-96.4	61.9
KSHV-K12-4-3P;NA	-2.6	-32.5	-96.4	64
MIR-352;NA	-1.2	-31.2	-96.7	49.4
MIR-669A;NA	-1.2	-31.2	-96.7	49.4
MIR-485-3P-2;NA	-2	-32	-96.7	57.7
MIR-485-3P;hsa-miR-485-3p|1x|4x	-2	-32	-96.7	57.7
MIR-292-3P;NA	-3.1	-33.1	-96.7	69
MIR-129-5P;hsa-miR-129-5p|1x|5x	-1	-31.1	-97	47.3
MIR-182-hsa;hsa-miR-182-5p|3x|1x	-1	-31.1	-97	47.3
MIR-532-5P-rno;NA	-1.7	-31.8	-97	54.5
EBV-6-5P;NA	-2	-32.1	-97	57.6
KSHV-K12-4-5P;NA	-2.1	-32.2	-97	58.6
MIR-646;NA	-3.9	-34	-97	77.2
MIR-452-star-hsa;NA	-4	-34.1	-97	78.2
MIR-452-star;NA	-4	-34.1	-97	78.2
ARTIF-9B;NA	-4.1	-34.2	-97	79.2
MIR-1;hsa-miR-1|8x|1x	-1.3	-31.5	-97.4	50.4
MIR-518B;NA	-1.5	-31.7	-97.4	52.4
SV40-S1-3P;NA	-1.8	-32	-97.4	55.5
MIR-300-3P-hsa;NA	-1.6	-31.9	-97.7	53.4
MIR-512-3P;NA	-3	-33.3	-97.7	67.7
MIR-467C;NA	-2.5	-32.9	-98	62.5
MIR-135B;NA	-1.5	-32	-98.3	52.3
MIR-333;NA	-1.5	-32	-98.3	52.3
MIR-692;NA	-2.4	-32.9	-98.3	61.4
MIR-544-hsa;NA	-2.5	-33	-98.3	62.4
MIR-544;NA	-2.5	-33	-98.3	62.4
MIR-875-3P-mmu;NA	-0.9	-31.5	-98.7	46.1
MIR-875-3P-rno;NA	-0.9	-31.5	-98.7	46.1
HCMV-UL22A;NA	-1	-31.6	-98.7	47.1
MIR-878-5P-rno;NA	-3.1	-33.7	-98.7	68.4
MIR-677;NA	-3.5	-34.1	-98.7	72.5
ARTIF-4A;NA	-3.2	-33.9	-99	69.3
ARTIF-4B;NA	-3.2	-33.9	-99	69.3
MIR-126-5P;hsa-miR-126-5p|3x|1x	-1.7	-32.5	-99.3	54.1
MIR-362-3P-hsa;hsa-miR-362-3p|3x|1x	-2.8	-33.6	-99.3	65.2
MIR-630;NA	-2.8	-33.6	-99.3	65.2
MIR-17-star;NA	-3.1	-33.9	-99.3	68.2
MIR-423-5P;hsa-miR-423-5p|1x|1x	-2.1	-33.1	-100	58
MIR-144;hsa-miR-144-3p|1x|2x	-4.1	-35.1	-100	78
LACAT75-15;NA	-0.2	-31.3	-100.3	39
MIR-505-mmu;NA	-0.5	-31.6	-100.3	42
MIR-295-3P-rno;NA	-2.6	-33.7	-100.3	62.9
ARTIF-3A;NA	-2.7	-33.8	-100.3	63.9
MIR-709;NA	-2.3	-33.5	-100.6	59.9
MIR-432-star;NA	-3.5	-34.7	-100.6	71.8
